Título Público do Projeto;Descrição;Status do Projeto;Empresa Contratante;Porte da Empresa;UF da Empresa;Projetos Contratados;Segmento CEIS;Data de Inicio;Unidade Embrapii;TRL - Inicial;TRL - Final;Área de Aplicação - Nível 1;Área de Aplicação - Nível 2;Tecnológia Habilitadora - Nível 1;Tecnológia Habilitadora - Nível 2
Sistema de Rastreabilidade Automático - Industria 4.0;Parceria entre o Centro de Pesquisas Avançadas Wernher von Braun e a empresa ELEVADORES ATLAS SCHINDLER LTDA. para o desenvolvimento do Sistema de Rastreabilidade Automático - Indústria 4.0.;Em andamento;ELEVADORES ATLAS SCHINDLER LTDA.;Grande;PR;1;Não é CEIS;22/06/2026;VBL IoT E INDÚSTRIA 4.0 - Von Braun;3;6;Processos industriais;Logística e cadeias de suprimento;Conectividade e cloud;Plataformas de Integração e Middleware
Edital Inteligente;Execução de atividades de pesquisa e o desenvolvimento de um software baseado em tecnologias WEB para realizar o processamento de linguagem natural em arquivos de editais de licitação, identificar no texto as características do equipamento da GE a ser comprado e auxiliar a GE na seleção correta do equipamento, acessórios e configurações.;Concluído;GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA;Grande;SP;5;Comércio;05/03/2021;EDGE-UFAL;6;6;Aplicações para serviços e comércio;Soluções digitais de gestão e operação de negócios;Inteligência artificial;Processamento de Linguagem Natural (PLN)
LBA - Load Backboard Automated;Desenvolver sistema para realizar o encostamento de carga.;Concluído;VOTORANTIM METAIS S.A.;Grande;SP;4;Não é CEIS;31/10/2014;CIMATEC;6;6;Indústria de base;Indústria siderúrgica e metalúrgica;Automação e Robótica;Controle e Automação de Processos
Contract Intelligence;"Este projeto propõe a adoção de soluções de IA para automatizar essa análise, possibilitando uma avaliação mais rápida e precisa de contratos, além de garantir a conformidade com políticas internas. Com isto visamos economizar recursos e
acelerar a aprovação de contratos.";Concluído;GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA;Grande;SP;5;Comércio;01/03/2024;EDGE-UFAL;6;6;Aplicações para serviços e comércio;Soluções digitais de gestão e operação de negócios;Inteligência artificial;Processamento de Linguagem Natural (PLN)
Desenvolvimento de protótipo para testar nova tecnologia para controle de enurese;Desenvolver protótipo para testar nova tecnologia para controle de enurese.;Concluído;GAIA ENGENHARIA LTDA;Pequena;BA;1;Não é CEIS;18/11/2014;CIMATEC;6;6;Complexo industrial da saúde;Dispositivos médicos e biomateriais;Instrumentação e Sistemas Embarcados;Sistemas Embarcados
MyCollabAI;Desenvolvimento de uma nova aplicação web com base em aplicação legada em produção, que promova a criação de uma interface comum para interação com diversos modelos de IA mantidos pela companhia. Além disto, esta solução proporcionará um ambiente onde seja possível que especialistas ao redor do mundo colaborarem para o desenvolvimento destes modelos, realizando verificações e validações dentro do escopo de cada modelo.;Concluído;GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA;Grande;SP;5;Comércio;01/10/2024;EDGE-UFAL;6;6;Aplicações para serviços e comércio;Plataformas tecnológicas e serviços digitais transversais;Inteligência artificial;Outras Aplicações de IA
Aprimoramento do processo de obtenção de produto para tratamento capilar;Desenvolver um processo para obtenção de produto para tratamento capilar através de modificações e ajustes da técnica atual baseados no estudo da cinética da reação, visando minimizar a formação de produtos indesejados que prejudicam o desempenho do procedimento para relaxamento capilar.;Concluído;L'OREAL BRASIL PESQUISA E INOVACAO LTDA.;Grande;RJ;3;Não é CEIS;01/12/2014;INT;4;4;Outras indústrias de transformação;Cosméticos;Tecnologias químicas;Catálise e Engenharia de Reações
Active Data Viewer;Pesquisa e o desenvolvimento de uma plataforma modular concebida para centralizar dados hospitalares e permitir sua visualização de forma dinâmica e configurável.;Em andamento;GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA;Grande;SP;5;Comércio;01/12/2025;EDGE-UFAL;3;6;Complexo industrial da saúde;Assistência à saúde;Integração de Sistemas;Plataformas de interoperabilidade e integração de dados heterogêneos
Automação veicular em aplicações agrícolas;Desenvolvimento de soluções para esterçamento automático de veículos - prova de conceito.;Concluído;VOLVO DO BRASIL VEICULOS LTDA;Grande;PR;3;Não é CEIS;18/12/2014;LACTEC;4;4;Veículos e sistemas autopropelidos;Máquinas e veículos de uso produtivo;Automação e Robótica;Robôs Móveis Autônomos (AMRs)
Innovation Platform;Desenvolvimento de uma plataforma web que permita a participação de pesquisadores e instituições externas, mediante cadastro e aprovação, o compartilhamento e validação de soluções de IA e algoritmos de pesquisa, a execução dessas soluções em modelo federado, com processamento realizado nos ambientes locais dos pesquisadores, respeitando restrições de dados e infraestrutura, a comparação estruturada de resultados entre múltiplas soluções e acompanhamento do desempenho, maturidade e potencial de negócio das soluções validadas.;Em andamento;GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA;Grande;SP;5;Comércio;09/03/2026;EDGE-UFAL;3;6;Aplicações para serviços e comércio;Plataformas tecnológicas e serviços digitais transversais;Inteligência artificial;Outras Aplicações de IA
