ID;Projeto;Estado de origem;Estado de destino;Data;Label;Valor (R$)
1;Projeto fictício 0001 - Energia limpa;RS;PR;2022-08-18;Concluído;643446.19
2;Projeto fictício 0002 - Indústria 4.0;DF;GO;2025-12-20;Concluído;3606524.93
3;Projeto fictício 0003 - Agricultura;PE;PR;2023-09-28;Pesquisa;2861796.64
4;Projeto fictício 0004 - Saúde digital;DF;AC;2021-12-21;Concluído;3998114.13
5;Projeto fictício 0005 - Indústria 4.0;GO;AM;2023-11-11;Validação;2390970.13
6;Projeto fictício 0006 - Biotecnologia;RJ;PE;2026-02-25;Validação;4676560.14
7;Projeto fictício 0007 - Indústria 4.0;DF;AC;2022-11-15;Concluído;4244946.36
8;Projeto fictício 0008 - Biotecnologia;MG;AM;2026-08-26;Prototipagem;1881868.36
9;Projeto fictício 0009 - Indústria 4.0;PR;RJ;2025-09-19;Concluído;2604428.51
10;Projeto fictício 0010 - Energia limpa;SP;AC;2026-06-20;Desenvolvimento;3162239.84
11;Projeto fictício 0011 - Indústria 4.0;AM;BA;2025-12-20;Desenvolvimento;291590.68
12;Projeto fictício 0012 - Energia limpa;DF;MG;2023-02-17;Validação;5989123.58
13;Projeto fictício 0013 - Biotecnologia;GO;RJ;2026-06-11;Desenvolvimento;5299292.45
14;Projeto fictício 0014 - Saúde digital;GO;AC;2024-06-10;Validação;250499.45
15;Projeto fictício 0015 - Energia limpa;RJ;SP;2023-10-14;Validação;3409926.95
16;Projeto fictício 0016 - Indústria 4.0;GO;PR;2021-01-01;Desenvolvimento;3208240.71
17;Projeto fictício 0017 - Energia limpa;AM;RS;2024-04-07;Concluído;2290810.15
18;Projeto fictício 0018 - Energia limpa;PR;SP;2022-06-29;Pesquisa;5942190.62
19;Projeto fictício 0019 - Energia limpa;DF;RS;2024-11-21;Pesquisa;460526.48
20;Projeto fictício 0020 - Biotecnologia;AM;CE;2023-11-30;Concluído;2059696.80
21;Projeto fictício 0021 - Energia limpa;AM;PR;2021-08-22;Concluído;3133817.63
22;Projeto fictício 0022 - Energia limpa;GO;PE;2025-04-05;Pesquisa;4884651.98
23;Projeto fictício 0023 - Indústria 4.0;MG;MG;2025-01-15;Validação;1806886.56
24;Projeto fictício 0024 - Indústria 4.0;AC;MG;2024-08-16;Desenvolvimento;3014488.66
25;Projeto fictício 0025 - Agricultura;AM;RS;2026-02-24;Desenvolvimento;1034158.73
26;Projeto fictício 0026 - Saúde digital;PE;SP;2021-12-11;Prototipagem;4667676.41
27;Projeto fictício 0027 - Biotecnologia;DF;DF;2025-08-01;Prototipagem;1837221.11
28;Projeto fictício 0028 - Energia limpa;AC;RJ;2021-02-24;Desenvolvimento;2094630.49
29;Projeto fictício 0029 - Energia limpa;RJ;GO;2025-04-06;Validação;3045464.03
30;Projeto fictício 0030 - Indústria 4.0;AC;BA;2023-04-01;Desenvolvimento;3906591.11
31;Projeto fictício 0031 - Saúde digital;PE;MG;2023-07-15;Pesquisa;4719005.16
32;Projeto fictício 0032 - Saúde digital;AM;GO;2024-09-18;Desenvolvimento;1115602.77
33;Projeto fictício 0033 - Biotecnologia;PE;GO;2025-09-09;Prototipagem;4993303.58
34;Projeto fictício 0034 - Saúde digital;CE;CE;2021-11-18;Concluído;1283959.58
35;Projeto fictício 0035 - Indústria 4.0;RS;RS;2021-01-13;Concluído;3249070.23
36;Projeto fictício 0036 - Indústria 4.0;AC;BA;2024-10-24;Validação;4198616.92
37;Projeto fictício 0037 - Energia limpa;GO;PR;2022-10-22;Concluído;861751.98
38;Projeto fictício 0038 - Energia limpa;RS;PR;2025-11-05;Pesquisa;1128647.48
39;Projeto fictício 0039 - Indústria 4.0;BA;SP;2022-11-28;Validação;4926402.90
40;Projeto fictício 0040 - Biotecnologia;MG;PE;2022-12-24;Concluído;33422.79
41;Projeto fictício 0041 - Saúde digital;PR;RS;2026-07-20;Validação;3409922.08
42;Projeto fictício 0042 - Agricultura;AM;CE;2023-07-16;Concluído;2098999.16
43;Projeto fictício 0043 - Energia limpa;MG;GO;2026-09-21;Prototipagem;585380.23
44;Projeto fictício 0044 - Energia limpa;GO;DF;2026-09-06;Pesquisa;5085984.73
45;Projeto fictício 0045 - Energia limpa;CE;PE;2024-02-28;Pesquisa;2442634.01
46;Projeto fictício 0046 - Agricultura;BA;AM;2021-07-02;Prototipagem;4874133.49
47;Projeto fictício 0047 - Saúde digital;AC;RS;2022-09-02;Validação;668350.53
48;Projeto fictício 0048 - Indústria 4.0;MG;RJ;2024-05-18;Prototipagem;5087183.22
49;Projeto fictício 0049 - Energia limpa;PE;AM;2021-02-19;Prototipagem;176397.27
50;Projeto fictício 0050 - Indústria 4.0;GO;CE;2026-07-27;Pesquisa;1696517.47
51;Projeto fictício 0051 - Indústria 4.0;GO;RJ;2023-03-24;Concluído;3660457.85
52;Projeto fictício 0052 - Biotecnologia;BA;SP;2021-05-04;Desenvolvimento;3183760.63
53;Projeto fictício 0053 - Agricultura;AC;DF;2022-11-24;Desenvolvimento;1795479.77
54;Projeto fictício 0054 - Agricultura;RJ;PE;2026-01-26;Validação;4890764.49
55;Projeto fictício 0055 - Agricultura;DF;MG;2023-03-20;Desenvolvimento;2285580.26
56;Projeto fictício 0056 - Energia limpa;AC;DF;2023-09-12;Validação;157176.93
57;Projeto fictício 0057 - Agricultura;MG;PR;2025-01-08;Pesquisa;3730311.26
